Default,term,installment,grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_high,inq_last_6mths,pub_rec,revol_bal,revol_util,total_acc,total_rec_int,recoveries,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,last_fico_range_high,last_fico_range_low,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,total_bc_limit
Fully Paid,1,858.05,1,526,3,1,92000,1,3,4,121,24,21.6,0,212,724,0,0,51507,64.5,24,1939.02,0,28,17093.51,26,764,760,0,221110,0,2,0,0,27,23413,55,0,1,8752,61,79900,0,1,0,1,13819,16623,59.9,82,379,19,19,2,19,5,0,7,9,11,4,13,18,9,16,0,91.7,22.2,0,41500
Fully Paid,1,298.58,1,609,10,1,60000,1,2,3,136,36,22.44,0,172,699,0,0,7722,59.4,9,1036.1,0,12,3480.17,6,779,775,0,55387,0,3,0,0,47,47665,43,2,2,4744,50,13000,0,0,2,2,7912,4778,61.8,234,91,9,9,0,11,9,0,3,3,3,5,4,4,3,7,2,100,66.7,0,12500
Fully Paid,1,777.55,1,496,3,1,109000,1,3,4,106,41,26.02,0,73,749,1,0,20862,54.3,19,1224.23,0,36,20807.39,2,724,720,0,305781,0,3,0,1,13,47194,58,0,1,8937,57,38400,1,0,1,2,33976,17538,54.3,142,168,13,13,3,13,0,0,3,5,6,7,5,9,3,9,0,100,20,0,38400
Fully Paid,2,400.31,3,256,3,1,112000,1,3,4,325,3,8.68,0,250,804,0,0,10711,15.5,27,387.22,0,23,18004.9,26,794,790,0,205067,3,1,2,2,3,25416,97,2,3,7672,38,82400,0,1,1,5,17089,60336,16.7,109,265,1,1,4,1,10,0,5,12,12,6,15,17,6,16,4,100,0,0,69800
Fully Paid,1,320.99,5,437,10,3,55000,3,3,4,217,13,25.49,0,202,679,4,1,9568,46,19,540.49,0,27,8251.42,20,639,635,0,18926,6,1,0,1,19,9358,51,12,16,653,46,20750,2,0,5,17,1051,1375,45,129,95,0,0,0,8,0,0,2,2,2,2,17,17,13,18,12,100,50,1,2750
Fully Paid,2,678.49,3,132,3,1,65000,3,3,4,100,18,21.77,0,232,719,0,0,31682,46.7,31,4133.21,0,24,25234.24,15,719,715,0,220251,2,1,1,2,9,10815,69,3,5,12971,51,67800,0,4,1,7,15732,18383,45.9,114,139,5,5,2,5,9,0,2,4,9,8,13,21,5,15,4,100,25,0,34000
Fully Paid,2,379.39,3,63,3,1,48000,1,2,3,135,36,33.18,0,167,689,0,2,19108,29.6,19,3498.09,0,37,12322.68,36,664,660,0,31329,1,2,1,2,6,12221,91,1,4,14982,65,284700,0,0,1,6,2848,263953,17.6,131,294,11,6,2,11,11,2,6,6,8,6,9,11,9,11,2,78.9,0,0,281300
Fully Paid,1,949.38,3,181,4,2,125000,2,3,4,41,30,7.49,0,228,699,0,0,22780,63.1,22,5320.39,0,8,12486.3,26,744,740,0,22780,0,0,0,0,64,0,74,0,1,6881,63,36100,0,0,1,1,3797,10607,63.4,113,187,22,22,0,22,10,0,4,5,10,3,6,19,5,6,0,100,40,0,29000
Fully Paid,1,169.54,3,248,4,3,79000,3,2,3,95,18,12.7,0,291,669,0,0,9441,101.5,5,1117.45,0,16,169.17,26,659,655,0,35653,0,1,0,1,19,26212,83,0,0,4360,87,9300,2,0,0,1,11884,0,101.4,50,36,32,19,0,36,19,0,1,1,1,3,2,2,2,3,0,100,100,0,4300
Fully Paid,1,186.61,1,33,3,1,100000,1,3,4,290,39,13.28,1,222,699,1,0,8563,72,16,711.71,0,16,186.6,26,719,715,0,116195,0,2,0,0,28,12525,35,0,1,2260,45,11900,0,1,1,1,12911,437,88.5,124,259,18,18,2,36,6,0,2,2,6,4,5,9,4,9,0,93.7,50,0,3800
Charged Off,1,146.16,3,340,7,3,35000,2,3,4,275,14,15.22,2,158,729,0,0,1058,24.6,6,653.6,368.37,2,146.16,8,499,0,0,4888,0,1,0,0,47,3830,22,0,0,367,22,4300,0,0,0,0,815,2233,14.1,47,53,26,26,0,26,14,0,1,3,3,1,5,5,2,6,0,66.7,0,0,2600
Fully Paid,1,602.3,1,197,11,2,65000,1,3,4,53,30,18.83,0,219,839,1,0,2269,3,17,1631.72,0,6,3577.5,6,809,805,0,15444,0,2,0,1,15,13175,44,0,1,1448,15,76200,2,0,1,2,1287,73931,3,63,295,19,15,0,19,4,0,3,10,11,4,10,13,3,12,0,100,0,0,76200
Fully Paid,2,406.04,4,433,1,1,109000,2,3,4,328,28,23.35,0,21,684,1,0,42469,87.6,33,1471.57,0,17,15481.3,17,679,675,0,182936,2,2,2,2,3,20689,94,1,3,8897,90,48500,0,3,1,5,16631,0,100.8,149,164,3,3,1,13,1,0,3,3,13,10,8,22,6,11,3,100,100,0,15800
Fully Paid,1,530.03,1,358,1,1,88000,2,2,3,275,14,26.59,0,229,784,0,0,12203,34.4,42,705.08,0,30,17.88,6,779,775,0,229082,0,10,1,4,9,68644,74,0,0,9347,63,35500,2,6,1,5,12057,11397,51.7,160,175,37,9,5,37,10,0,2,4,7,24,8,13,2,20,1,100,0,0,23600
Fully Paid,1,451.73,1,164,3,1,44000,2,4,6,111,41,15.34,0,178,689,1,0,17003,50.3,21,1257.97,0,16,455.59,16,694,690,0,17003,0,0,0,1,19,0,74,0,1,5966,50,33800,0,3,3,2,2429,7011,51,141,162,13,13,2,34,5,0,2,2,4,5,7,14,6,7,0,90.5,0,0,14300
Charged Off,1,538.18,3,387,3,1,65000,1,10,1,170,1,18.96,0,61,679,0,1,5157,54.3,20,3402.05,0,32,565.09,26,629,625,1830,39781,2,2,0,0,27,34624,68,2,2,739,64,9500,0,5,0,2,5683,3684,21.6,256,360,1,1,0,1,14,1,3,3,3,12,5,7,5,7,2,80,0,0,4700
Charged Off,2,701.01,6,270,6,1,75000,1,3,4,47,30,20.84,0,26,664,0,0,24799,65.3,21,2791.73,0,17,701.01,25,499,0,0,320098,2,1,0,1,14,13676,75,2,10,3138,61,38000,1,1,3,13,17783,9044,68.9,93,104,2,2,2,2,7,0,10,11,12,2,15,16,12,18,3,100,63.6,0,29100
Fully Paid,1,391.62,2,448,2,3,98000,1,3,4,386,43,24.04,0,100,694,0,1,20462,62.8,39,1349.67,0,2,7884.96,21,754,750,5930,374585,0,4,1,3,9,82819,66,1,2,12597,65,32600,1,1,0,5,26756,3884,83.9,147,166,9,9,8,9,15,4,3,3,6,17,8,14,5,15,2,87.2,66.7,0,24100
Charged Off,2,581.58,3,219,11,1,79000,1,3,4,94,18,34.53,0,177,734,1,0,22519,18.6,72,6126.37,0,12,581.58,26,604,600,171,265233,3,3,2,4,5,67459,62,4,8,5447,28,121200,2,6,3,12,8556,57049,21.4,124,174,1,1,6,2,2,0,6,12,21,15,29,51,16,33,6,100,0,0,72600
Fully Paid,1,217.72,1,83,3,1,59000,1,2,3,96,18,13.06,1,278,734,1,0,10467,24.2,34,806.1,0,35,425.19,26,769,765,0,55222,0,1,0,0,45,5337,26,1,2,6987,25,43200,0,2,2,2,6136,26118,26,124,223,10,10,3,34,1,0,2,4,5,14,8,17,4,10,1,97.1,0,0,35300
Fully Paid,2,488.53,3,474,1,3,52000,2,2,3,208,31,14.47,0,128,684,1,0,20374,87.4,15,6285.81,0,6,12548.3,26,699,695,0,372407,1,1,1,1,5,352033,74,0,0,9358,87,23300,1,0,2,1,74481,2926,87.4,76,131,85,5,0,85,0,0,3,4,4,11,4,4,3,5,1,100,75,0,23300
Fully Paid,2,652.06,3,327,3,1,195000,1,9,10,282,16,6.79,0,150,704,0,0,34974,50.9,19,2253.17,0,4,25897.53,17,734,730,0,267500,1,1,0,1,21,10003,76,1,3,12056,55,68700,0,0,0,4,19107,23969,56.8,21,173,3,3,1,3,5,0,6,7,9,1,12,17,10,14,1,100,57.1,0,55500
Fully Paid,1,237.36,2,302,3,1,72500,3,4,6,137,10,8.47,0,50,729,1,0,5449,35.2,7,1053.86,0,37,3755.5,13,739,735,0,147791,2,1,0,1,23,14807,66,3,3,2445,53,15500,1,0,2,4,29558,10051,35.2,111,7,2,2,2,2,0,0,3,3,3,2,3,3,3,5,3,100,0,0,15500
Fully Paid,1,691.84,3,250,8,3,110000,1,2,3,254,12,12.45,0,183,694,0,0,21374,84.5,12,4889.01,0,9,1407.7,9,694,690,0,37491,0,1,1,1,10,16016,80,0,1,14981,82,25300,1,0,1,3,5356,523,97.6,10,102,16,10,0,16,9,0,3,3,5,1,6,10,4,8,1,100,100,0,21500
Fully Paid,1,700.88,4,110,7,3,70000,1,5,5,157,9,22.21,0,152,684,0,0,19077,36.6,63,1780.59,0,7,2815.6,26,659,655,264,63456,2,3,0,0,47,44379,84,6,9,2957,61,52100,0,0,3,9,2759,12279,48,131,137,2,2,1,2,9,5,8,9,9,39,21,23,17,24,6,92.1,0,0,23600
Charged Off,2,253.78,4,201,4,1,55000,1,2,3,314,5,35.7,0,20,689,0,0,38623,78,28,2871.05,0,31,253.78,12,524,520,0,288087,2,2,2,2,6,32895,94,1,1,6742,85,49500,0,3,3,4,20578,287,97.4,106,176,7,6,6,51,6,0,3,3,4,6,11,16,9,14,4,100,100,0,11000
Fully Paid,1,643.47,2,327,7,3,75000,1,3,4,381,43,23.45,0,220,729,0,0,7558,9.6,26,1918.82,0,24,13580.93,26,799,795,0,40090,2,2,2,3,8,32532,84,3,5,1600,34,78900,0,2,0,8,2864,48533,5.9,159,283,4,4,1,4,19,2,5,7,8,11,12,13,10,14,5,92.3,0,0,51600
Fully Paid,1,260.5,1,43,1,1,100000,1,2,3,217,13,7.28,0,150,754,0,0,7158,26.7,24,613.85,0,8,2.08,31,774,770,0,165450,0,1,1,1,11,24041,89,0,3,3081,58,26800,1,0,5,5,13788,11142,39.1,73,173,16,11,1,20,11,0,3,9,10,5,13,18,3,15,1,100,0,0,18300
Fully Paid,2,482.56,3,599,4,3,54649,2,3,4,296,39,12.14,0,281,674,0,1,1581,26.8,44,3473.23,0,28,17274.03,26,719,715,0,51489,0,7,0,2,14,49908,97,0,1,1097,89,5900,1,3,1,3,5721,4319,26.8,186,194,17,14,2,17,0,0,2,2,14,25,2,17,2,9,0,100,50,1,5900
Fully Paid,1,252.32,4,55,1,3,55000,1,3,4,62,30,17.35,0,181,684,0,1,5938,69,43,1694.32,0,25,2602.09,12,689,685,0,275831,1,18,3,9,5,269893,110,0,3,3234,108,8600,4,0,9,12,11493,1521,77.3,111,126,15,5,0,15,5,0,2,4,5,35,6,8,3,24,3,97.7,50,0,6700
Fully Paid,1,283.13,2,500,3,1,92000,2,2,3,232,19,5.18,0,258,669,1,0,9195,76.6,24,1052.88,0,5,4768.52,5,709,705,0,105650,1,1,0,0,35,921,15,2,5,3818,56,12000,0,2,3,8,11739,445,94.8,102,169,6,6,2,9,6,0,3,3,11,6,6,15,5,9,2,87.5,100,0,8500
Fully Paid,1,89.47,4,599,3,1,50000,3,9,10,156,9,17.6,3,124,674,4,0,732,31.1,22,713.3,0,32,266.79,13,669,665,0,197169,3,3,2,4,2,196437,95,1,2,48,87,2500,6,3,5,6,28167,652,6.9,149,179,3,2,0,3,0,3,1,1,1,14,4,8,4,7,3,68.4,0,0,700
Fully Paid,1,350.67,2,423,3,1,69000,1,2,3,208,31,21.34,0,311,684,1,0,8137,84.8,18,1610.03,0,16,350.59,9,704,700,0,205780,0,3,0,3,17,25792,63,0,2,4361,67,9600,2,1,1,5,22864,463,94.6,127,135,13,13,2,13,1,0,4,4,5,8,5,8,4,9,0,94.4,75,0,8600
Fully Paid,1,336.37,3,126,6,1,91392,1,5,5,268,21,9.44,0,312,714,0,0,6959,41.7,33,1316.89,0,24,6961.97,9,594,590,0,304514,2,4,1,4,6,66773,88,1,1,2180,71,16700,0,0,3,7,23424,433,90.2,104,111,9,6,3,9,8,0,3,3,6,19,7,11,5,13,3,100,100,0,4400
Fully Paid,2,718.51,4,209,3,1,75000,3,3,4,220,13,31.88,0,284,689,0,0,43413,51.9,46,11607.45,0,35,16687.04,26,694,690,0,193745,1,2,0,2,22,13889,44,2,6,7213,50,83600,1,0,0,8,7176,23476,59.9,143,158,4,4,2,10,16,0,14,14,18,9,24,34,20,27,2,100,50,0,58500
Fully Paid,2,778.38,3,243,3,1,128000,2,4,6,86,7,6.46,0,90,689,0,0,14277,27.4,46,9358.91,0,9,17952.27,26,724,720,321,146867,1,11,0,0,28,35367,49,0,1,5020,40,52200,1,4,0,3,8639,17248,35.6,206,310,19,3,5,99,15,1,3,3,6,26,5,11,4,17,1,91.3,33.3,0,26800
Fully Paid,1,229.53,2,549,3,1,50000,1,3,4,5,17,19.25,0,36,679,0,0,9051,47.6,25,398.05,0,4,6206.89,26,634,630,0,218695,0,2,0,2,14,18276,74,2,4,3281,63,19000,1,3,2,8,19881,9949,47.6,120,137,11,9,3,11,10,0,6,8,13,7,9,14,6,13,3,96,37.5,0,19000
Fully Paid,1,312.95,1,599,4,3,40100,1,2,3,213,31,10.81,0,280,684,1,0,6664,45,7,1255.15,0,16,312.89,26,699,695,1036,27354,1,1,0,0,76,20690,101,1,2,5037,78,14800,0,0,1,2,6839,6420,50.6,124,206,1,1,0,24,1,0,2,2,2,3,3,4,3,4,1,100,0,0,13000
Charged Off,2,367.67,3,347,2,3,42000,1,2,3,9,17,9.6,0,21,674,0,0,11834,44.8,48,1975.88,0,14,367.67,27,499,0,0,83690,0,15,0,0,52,71856,118,0,1,1846,96,26400,0,0,0,1,2886,14203,40.6,164,120,16,16,0,16,5,0,7,13,20,25,14,23,8,29,0,97.9,30.8,0,23900
Fully Paid,1,726.46,3,648,1,3,47590,2,2,3,166,9,17.76,0,20,704,0,0,24882,57.1,14,3976.27,0,25,7662.31,6,774,770,0,40976,1,1,0,0,55,16094,49,1,2,11556,54,43600,0,1,0,2,5122,10318,70.7,140,176,6,6,0,6,5,0,5,5,5,3,8,11,5,9,1,100,60,0,35200
Fully Paid,2,359.9,4,18,3,1,39000,3,3,4,240,44,18,0,47,679,1,0,15646,74.9,21,2316.39,0,7,12764.01,13,694,690,0,60381,1,0,0,0,91,0,74,2,5,4879,75,20900,0,0,2,5,5032,578,93.4,138,172,2,2,3,2,2,0,3,3,3,4,11,13,11,12,2,100,66.7,0,8800
Charged Off,2,794.21,3,310,9,1,106000,2,3,4,169,1,17.36,0,21,734,0,0,39055,72.1,27,7086.13,5558.6,31,794.21,26,504,500,0,299890,0,3,0,0,35,16012,43,0,0,9701,60,54200,0,4,0,0,37486,12875,67.2,135,164,38,35,4,38,5,0,3,3,6,13,4,10,4,8,0,100,0,0,39200
Fully Paid,1,672.73,3,418,3,1,145000,1,3,4,16,35,12.28,0,102,699,0,0,22551,80.2,21,4206.6,0,26,764.11,26,609,605,0,429218,2,3,1,2,2,9935,43,2,3,4627,62,28500,1,0,6,5,39020,2822,81.6,79,142,4,2,5,27,1,0,4,5,8,5,7,11,6,12,3,100,75,0,13500
Charged Off,2,331.96,3,9,4,1,60000,1,3,4,323,3,24.29,0,55,694,0,0,12718,73.9,24,2770.73,1495.9,18,331.96,8,514,510,0,70789,0,2,1,2,10,58071,99,0,1,4952,89,17200,1,0,5,3,6435,2382,84.2,76,71,23,10,0,23,0,0,7,8,8,13,9,11,8,11,1,100,87.5,0,15100
Charged Off,2,465.27,3,225,3,2,70000,2,3,4,92,18,16.9,0,177,684,0,0,31200,42,35,2592.85,9915,14,465.27,6,624,620,0,34856,2,1,0,0,43,3656,37,2,3,4367,41,74200,0,1,0,3,1835,18527,44,46,174,5,5,0,6,13,1,6,9,19,2,19,32,11,20,2,94.3,44.4,0,33100
Fully Paid,1,142.41,3,327,3,1,102500,1,3,4,56,30,26.21,0,123,704,0,0,11947,88.5,37,918.76,0,16,142.25,26,719,715,0,197024,2,6,2,3,3,32446,54,0,4,4797,60,13500,1,9,2,8,14073,983,89.1,138,203,13,3,7,23,7,0,2,2,7,14,6,16,6,14,3,100,100,0,9000
Fully Paid,2,450.52,3,36,11,2,75000,1,2,3,45,30,13.09,0,176,669,2,0,17771,63.7,34,2165.04,0,11,10797.99,12,779,775,0,72043,2,2,0,1,13,30388,83,3,6,2724,75,27900,0,4,2,9,5146,884,88.2,151,186,1,1,3,3,1,1,4,4,6,13,12,18,10,15,4,94.1,100,0,7500
Fully Paid,2,448.01,6,294,3,2,45000,1,3,4,207,31,34.85,0,130,759,1,0,8799,21.3,24,5631.26,0,37,13019.99,12,744,740,25,45025,3,2,2,3,5,36226,84,2,2,6833,53,41300,1,0,1,5,2649,12808,35.6,90,107,2,2,0,10,5,0,2,4,4,7,16,17,4,18,4,100,0,0,19900
Fully Paid,1,1051.31,4,634,4,1,175000,1,4,6,201,31,18.5,0,43,729,1,0,21831,50.3,23,3903.77,0,7,23456.38,36,734,730,0,408118,2,4,2,4,6,130740,84,0,1,12141,71,43400,4,3,3,7,51015,21569,50.3,118,220,16,6,3,16,0,0,2,3,7,9,4,11,2,9,3,95.7,33.3,0,43400
Fully Paid,1,45.97,1,335.5,3,1,45000,1,11,11,371,11,16.11,0,63,749,0,0,3717,21.2,37,98.98,0,2,956.75,26,739,735,0,158643,3,2,1,2,3,14683,81,3,5,3382,52,17500,0,1,1,8,15864,8818,27.7,123,336,6,3,4,6,12,0,1,4,15,8,9,25,3,12,4,97.2,0,0,12200
Fully Paid,1,752.87,1,171,2,1,150000,1,2,3,22,42,9.54,0,94,799,0,0,19339,42.5,18,2033.11,0,9,752.86,9,784,780,0,430856,1,2,0,0,28,25447,6,1,1,19339,34,45500,0,7,0,1,61551,24661,44,166,238,4,4,7,73,5,0,1,3,3,4,4,7,1,7,1,100,0,0,44000
Charged Off,2,518.35,4,327,6,3,60000,2,3,4,368,4,34.84,0,180,724,0,1,8284,40.6,16,5019.82,0,18,518.35,30,564,560,0,43224,0,4,2,3,7,34940,54,2,3,8284,51,20400,2,2,1,6,4322,9516,46.5,138,74,7,7,0,16,9,0,1,4,6,7,6,9,1,10,4,100,25,1,17800
Charged Off,2,633.73,5,421,3,3,70000,1,2,3,101,41,33.2,0,171,689,1,0,44807,94.9,19,2450.73,0,17,633.73,11,519,515,0,57655,1,1,0,1,24,6234,30,1,1,9973,77,47200,0,0,1,2,6406,1249,97.2,24,240,4,4,3,52,4,0,5,6,7,1,8,14,7,10,1,100,100,0,44400
Fully Paid,2,324.5,2,516,3,1,65000,1,3,4,168,1,29.28,0,47,724,0,0,24723,69.8,32,3520.28,0,13,2536.24,26,704,700,0,224194,0,7,1,1,10,71557,81,1,2,8415,76,35400,0,1,1,3,12455,4286,84.9,172,171,12,10,1,12,10,0,6,7,12,14,10,17,7,18,2,100,71.4,0,28400
Fully Paid,1,326.35,2,315,5,1,41600,1,3,4,221,13,15.78,0,286,699,0,0,12958,52.5,33,1289.95,0,18,5756.97,9,714,710,0,168304,2,9,2,3,2,27723,94,0,2,4958,75,24700,2,4,2,5,9350,4617,66.8,134,124,16,2,2,16,7,0,2,3,4,16,8,15,5,18,2,100,33.3,0,13900
Fully Paid,1,473.45,2,512,8,1,110000,1,2,3,38,27,13.24,0,74,674,0,1,19029,41.4,33,657.93,0,17,13308.37,28,734,730,0,327836,0,2,0,1,14,8820,42,3,5,10538,42,46000,2,0,3,7,20490,10457,62.9,142,150,7,7,4,18,11,0,5,5,10,3,13,24,8,16,4,100,20,1,28200
Charged Off,2,618.46,5,464,4,2,110000,1,1,2,84,8,20.43,0,35,664,0,0,20594,94.9,24,1868.46,2278.59,20,618.46,7,584,580,1105,55048,1,3,0,0,25,34454,43,3,5,4871,54,21700,3,0,9,5,5505,1106,94.9,159,352,3,3,2,3,0,1,5,8,11,10,8,12,6,11,3,87.5,85.7,0,21700
Charged Off,1,977,4,254,3,1,65000,1,4,6,49,30,25.63,0,259,664,0,0,31035,83,38,3157.54,0,33,977,28,524,520,0,238105,0,1,0,2,16,29947,81,2,3,9413,82,37400,2,2,3,7,18316,3924,87.7,150,157,11,9,2,17,8,0,7,7,17,5,11,31,9,14,3,100,85.7,0,32000
Fully Paid,2,549.57,2,444,3,1,135000,1,2,3,303,39,4.65,0,286,709,0,0,7340,13.5,33,1482.58,0,17,23774.59,16,709,705,0,23522,0,1,1,2,7,16182,91,2,6,2990,33,54400,1,1,5,9,1470,38700,15.5,134,100,7,7,5,10,3,1,3,11,13,6,15,21,4,16,4,97,0,0,45800
Fully Paid,1,489.52,2,115,2,3,40000,3,2,3,310,39,10.17,0,288,674,0,0,12272,75.3,9,2653.9,0,32,1464.61,9,724,720,0,12272,2,0,0,0,12,0,74,2,2,4917,75,16300,0,0,0,2,2045,347,96.6,131.5,110,3,3,0,3,21,0,4,4,4,0,7,9,6,7,2,100,100,0,10300
Fully Paid,2,246.33,4,207,1,3,30000,2,3,4,209,31,30.84,0,307,719,2,1,6118,26.6,36,757.52,0,20,9795.24,3,559,555,0,65214,2,14,1,3,5,59096,94,1,1,4807,76,23000,5,0,7,4,3432,15310,28.1,183,162,3,3,0,3,1,1,3,3,5,28,4,8,4,19,2,96.9,0,1,21300
Fully Paid,2,419.8,3,587,3,1,70000,2,3,4,292,39,13.2,0,178,679,1,0,15883,57.8,19,3412,0,5,14388.69,5,724,720,0,123863,1,2,1,2,11,12681,71,2,3,5431,63,27500,0,0,2,5,13763,11617,57.8,154,162,3,3,2,3,2,1,6,6,11,4,6,13,6,9,3,89.5,16.7,0,27500
Fully Paid,1,156.48,1,445,8,3,32000,2,2,3,204,31,13.73,0,108,689,0,1,5552,41.1,10,627.56,0,16,156.25,26,659,655,0,11665,0,1,0,1,13,6113,75,0,4,2361,54,13500,1,1,1,5,1666,5787,42.7,13,46,16,13,0,17,11,0,4,4,5,1,6,9,5,7,0,100,0,1,10100
Fully Paid,1,286.92,2,625,2,2,50000,1,3,4,274,14,11.98,0,177,804,2,0,7518,48.5,11,1232.91,0,16,167.11,16,589,585,0,40272,1,1,0,0,37,6600,40,1,1,7392,44,15500,1,0,2,1,8054,7982,48.5,165,174,4,4,2,4,0,0,2,3,5,3,3,6,2,5,1,100,33.3,0,15500
