loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
18000,18000,18000,2,19.48,471.7,5,22,558,10,3,150000,1,1,1,3,5,342,4,9.39,0,181,665,669,1,NA,75,18,1,14052,40.7,27,2,0,0,9452.74,9452.74,3481.86,4351.98,0,1618.9,291.402,28,471.7,1,30,584,580,0,NA,1,1,NA,NA,1,0,60,36247,2,2,1,3,2,22195,71,2,4,1271,55,34500,2,1,2,7,2014,5128,51.3,0,0,115,112,1,1,2,9,NA,2,NA,0,6,13,7,8,6,16,19,13,18,0,0,0,3,100,14.3,1,0,65819,36247,10300,31319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
28000,28000,28000,1,6.49,858.05,1,2,527,4,1,92000,1,1,2,3,5,121,24,21.6,0,212,720,724,0,42,NA,16,0,51507,64.5,24,2,0,0,29939.01773,29939.02,28000,1939.02,0,0,0,28,17093.51,1,26,764,760,0,NA,1,1,NA,NA,1,0,0,221110,0,2,0,0,27,23413,55,0,1,8752,61,79900,0,1,0,1,13819,16623,59.9,0,0,82,379,19,19,2,19,48,NA,42,0,7,9,9,11,4,13,18,9,16,0,0,0,0,91.7,22.2,0,0,304003,74920,41500,42503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
9600,9600,9600,1,7.49,298.58,1,4,610,11,1,60000,1,1,2,2,4,136,36,22.44,0,172,695,699,0,NA,NA,7,0,7722,59.4,9,2,0,0,10636.09843,10636.1,9600,1036.1,0,0,0,12,3480.17,1,6,779,775,0,NA,1,1,NA,NA,1,0,0,55387,0,3,0,0,47,47665,43,2,2,4744,50,13000,0,0,2,2,7912,4778,61.8,0,0,234,91,9,9,0,11,NA,9,NA,0,3,3,3,3,5,4,4,3,7,0,0,0,2,100,66.7,0,0,88635,55387,12500,75635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
25000,25000,25000,1,7.49,777.55,1,4,497,4,1,109000,1,1,2,3,5,106,41,26.02,0,73,745,749,1,NA,NA,9,0,20862,54.3,19,2,0,0,26224.23,26224.23,25000,1224.23,0,0,0,36,20807.39,1,2,724,720,0,NA,1,1,NA,NA,1,0,0,305781,0,3,0,1,13,47194,58,0,1,8937,57,38400,1,0,1,2,33976,17538,54.3,0,0,142,168,13,13,3,13,NA,0,NA,0,3,3,5,6,7,5,9,3,9,0,0,0,0,100,20,0,0,373572,68056,38400,82117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
18000,18000,18000,2,11.99,400.31,3,11,257,4,1,112000,1,1,2,3,5,325,3,8.68,0,250,800,804,0,NA,NA,17,0,10711,15.5,27,2,0,0,18387.22,18387.22,18000,387.22,0,0,0,23,18004.9,1,26,794,790,0,NA,1,1,NA,NA,1,0,0,205067,3,1,2,2,3,25416,97,2,3,7672,38,82400,0,1,1,5,17089,60336,16.7,0,0,109,265,1,1,4,1,NA,10,NA,0,5,6,12,12,6,15,17,6,16,0,0,0,4,100,0,0,0,309710,36127,69800,26210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
8650,8650,8650,1,19.89,320.99,5,23,438,11,3,55000,3,1,2,3,5,217,13,25.49,0,202,675,679,4,NA,30,18,1,9568,46,19,2,0,0,9190.49,9190.49,8650,540.49,0,0,0,27,8251.42,1,20,639,635,0,NA,1,1,NA,NA,1,0,0,18926,6,1,0,1,19,9358,51,12,16,653,46,20750,2,0,5,17,1051,1375,45,0,0,129,95,0,0,0,8,NA,0,NA,0,2,17,2,2,2,17,17,13,18,NA,0,0,12,100,50,1,0,38998,18926,2750,18248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
29900,29900,29900,2,12.88,678.49,3,12,133,4,1,65000,3,1,2,3,5,100,18,21.77,0,232,715,719,0,NA,NA,15,0,31682,46.7,31,2,0,0,34033.21418,34033.21,29900,4133.21,0,0,0,24,25234.24,1,15,719,715,0,NA,1,1,NA,NA,1,0,0,220251,2,1,1,2,9,10815,69,3,5,12971,51,67800,0,4,1,7,15732,18383,45.9,0,0,114,139,5,5,2,5,NA,9,NA,0,2,5,4,9,8,13,21,5,15,0,0,0,4,100,25,0,0,271700,42497,34000,15574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
16000,16000,16000,2,14.85,379.39,3,15,64,4,1,48000,1,1,2,2,4,135,36,33.18,0,167,685,689,0,33,2,11,2,19108,29.6,19,2,0,0,19498.09211,19498.09,16000,3498.09,0,0,0,37,12322.68,1,36,664,660,0,33,1,1,NA,NA,1,0,0,31329,1,2,1,2,6,12221,91,1,4,14982,65,284700,0,0,1,6,2848,263953,17.6,0,0,131,294,11,6,2,11,76,11,76,2,6,9,6,8,6,9,11,9,11,0,0,0,2,78.9,0,0,2,298100,31329,281300,13400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
28000,28000,28000,1,13.44,949.38,3,13,182,5,2,125000,2,1,2,3,5,41,30,7.49,0,228,695,699,0,NA,NA,6,0,22780,63.1,22,2,0,0,33320.39332,33320.39,28000,5320.39,0,0,0,8,12486.3,1,26,744,740,0,NA,1,1,NA,NA,1,0,0,22780,0,0,0,0,64,0,NA,0,1,6881,63,36100,0,0,1,1,3797,10607,63.4,0,0,113,187,22,22,0,22,NA,10,NA,0,4,4,5,10,3,6,19,5,6,0,0,0,0,100,40,0,0,36100,22780,29000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
5000,5000,5000,1,13.44,169.54,3,13,249,5,3,79000,3,1,2,2,4,95,18,12.7,0,291,665,669,0,NA,NA,3,0,9441,101.5,5,2,0,0,6117.453197,6117.45,5000,1117.45,0,0,0,16,169.17,1,26,659,655,0,NA,1,1,NA,NA,1,0,0,35653,0,1,0,1,19,26212,83,0,0,4360,87,9300,2,0,0,1,11884,0,101.4,0,0,50,36,32,19,0,36,NA,19,NA,0,1,2,1,1,3,2,2,2,3,0,0,0,0,100,100,0,0,41091,35653,4300,31791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
6000,6000,6000,1,7.49,186.61,1,4,34,4,1,1.00E+05,1,1,2,3,5,290,39,13.28,1,222,695,699,1,15,NA,9,0,8563,72,16,2,0,0,6711.710107,6711.71,6000,711.71,0,0,0,16,186.6,1,26,719,715,0,NA,1,1,NA,NA,1,0,0,116195,0,2,0,0,28,12525,35,0,1,2260,45,11900,0,1,1,1,12911,437,88.5,0,0,124,259,18,18,2,36,15,6,15,0,2,4,2,6,4,5,9,4,9,0,0,0,0,93.7,50,0,0,156354,22741,3800,36083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
4225,4225,4225,1,14.85,146.16,3,15,341,8,3,35000,2,1,1,3,5,275,14,15.22,2,158,725,729,0,18,NA,6,0,1058,24.6,6,2,0,0,2558.87,2558.87,1536.9,653.6,0,368.37,66.3066,2,146.16,1,8,499,0,0,NA,1,1,NA,NA,1,0,0,4888,0,1,0,0,47,3830,22,0,0,367,22,4300,0,0,0,0,815,2233,14.1,0,0,47,53,26,26,0,26,NA,14,18,0,1,2,3,3,1,5,5,2,6,0,0,0,0,66.7,0,0,0,21822,4888,2600,17522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
20000,20000,20000,1,5.32,602.3,1,1,198,12,2,65000,1,1,2,3,5,53,30,18.83,0,219,835,839,1,NA,NA,12,0,2269,3,17,2,0,0,21631.72433,21631.72,20000,1631.72,0,0,0,6,3577.5,1,6,809,805,0,NA,1,1,NA,NA,1,0,0,15444,0,2,0,1,15,13175,44,0,1,1448,15,76200,2,0,1,2,1287,73931,3,0,0,63,295,19,15,0,19,NA,4,NA,0,3,3,10,11,4,10,13,3,12,0,0,0,0,100,0,0,0,106217,15444,76200,30017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
16000,16000,16000,2,17.97,406.04,4,19,434,2,1,109000,2,1,2,3,5,328,28,23.35,0,21,680,684,1,NA,NA,11,0,42469,87.6,33,2,0,0,17471.57,17471.57,16000,1471.57,0,0,0,17,15481.3,1,17,679,675,0,NA,1,1,NA,NA,1,0,0,182936,2,2,2,2,3,20689,94,1,3,8897,90,48500,0,3,1,5,16631,0,100.8,0,0,149,164,3,3,1,13,NA,1,NA,0,3,6,3,13,10,8,22,6,11,0,0,0,3,100,100,0,0,228050,63158,15800,22000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
17600,17600,17600,1,5.32,530.03,1,1,359,2,1,88000,2,1,2,2,4,275,14,26.59,0,229,780,784,0,NA,NA,20,0,12203,34.4,42,2,0,0,18305.08,18305.08,17600,705.08,0,0,0,30,17.88,1,6,779,775,0,NA,1,1,NA,NA,1,0,0,229082,0,10,1,4,9,68644,74,0,0,9347,63,35500,2,6,1,5,12057,11397,51.7,0,0,160,175,37,9,5,37,NA,10,NA,0,2,2,4,7,24,8,13,2,20,0,0,0,1,100,0,0,0,285027,80847,23600,92701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
15000,15000,15000,1,5.32,451.73,1,1,165,4,1,44000,2,1,2,4,7,111,41,15.34,0,178,685,689,1,47,NA,7,0,17003,50.3,21,2,0,0,16280.56248,16280.56,15000,1257.97,22.59,0,0,16,455.59,1,16,694,690,0,NA,1,1,NA,NA,1,0,0,17003,0,0,0,1,19,0,NA,0,1,5966,50,33800,0,3,3,2,2429,7011,51,0,0,141,162,13,13,2,34,NA,5,47,0,2,6,2,4,5,7,14,6,7,0,0,0,0,90.5,0,0,0,33800,17003,14300,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
16000,16000,16000,1,12.88,538.18,3,12,388,4,1,65000,1,1,1,10,2,170,1,18.96,0,61,675,679,0,33,66,7,1,5157,54.3,20,2,0,0,17396.63,17396.63,13833.12,3402.05,161.46,0,0,32,565.09,1,26,629,625,0,55,1,1,NA,NA,1,0,1830,39781,2,2,0,0,27,34624,68,2,2,739,64,9500,0,5,0,2,5683,3684,21.6,0,0,256,360,1,1,0,1,33,14,33,1,3,5,3,3,12,5,7,5,7,0,0,0,2,80,0,0,1,80999,39781,4700,71499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
24250,24250,24250,2,24.24,701.01,6,28,271,7,1,75000,1,1,1,3,1,47,30,20.84,0,26,660,664,0,NA,NA,18,0,24799,65.3,21,2,0,0,4124.42,4124.42,1332.69,2791.73,0,0,0,17,701.01,1,25,499,0,0,NA,1,1,NA,NA,1,0,0,320098,2,1,0,1,14,13676,75,2,10,3138,61,38000,1,1,3,13,17783,9044,68.9,0,0,93,104,2,2,2,2,NA,7,NA,0,10,12,11,12,2,15,16,12,18,0,0,0,3,100,63.6,0,0,344960,38475,29100,18300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
12000,12000,12000,1,10.78,391.62,2,9,449,3,3,98000,1,1,2,3,5,386,43,24.04,0,100,690,694,0,33,61,15,1,20462,62.8,39,2,0,0,13349.66559,13349.67,12000,1349.67,0,0,0,2,7884.96,1,21,754,750,0,69,1,1,NA,NA,1,0,5930,374585,0,4,1,3,9,82819,66,1,2,12597,65,32600,1,1,0,5,26756,3884,83.9,0,0,147,166,9,9,8,9,69,15,69,4,3,5,3,6,17,8,14,5,15,0,0,0,2,87.2,66.7,0,0,478544,103281,24100,120544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
25000,25000,25000,2,13.99,581.58,3,14,220,12,1,79000,1,1,1,3,5,94,18,34.53,0,177,730,734,1,NA,NA,33,0,22519,18.6,72,2,0,0,14490.92,14490.92,8364.55,6126.37,0,0,0,12,581.58,1,26,604,600,0,NA,1,1,NA,NA,1,0,171,265233,3,3,2,4,5,67459,62,4,8,5447,28,121200,2,6,3,12,8556,57049,21.4,0,0,124,174,1,1,6,2,NA,2,NA,0,6,16,12,21,15,29,51,16,33,0,0,0,6,100,0,0,0,389002,89978,72600,81802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
7000,7000,7000,1,7.49,217.72,1,4,84,4,1,59000,1,1,2,2,4,96,18,13.06,1,278,730,734,1,23,NA,10,0,10467,24.2,34,2,0,0,7806.099471,7806.1,7000,806.1,0,0,0,35,425.19,1,26,769,765,0,NA,1,1,NA,NA,1,0,0,55222,0,1,0,0,45,5337,26,1,2,6987,25,43200,0,2,2,2,6136,26118,26,0,0,124,223,10,10,3,34,NA,1,NA,0,2,4,4,5,14,8,17,4,10,0,0,0,1,97.1,0,0,0,115502,15804,35300,20402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
